Ns_diag,cutoff,tail_probability,eta_s,eta_i,Gamma,Fq_fock,local_variance,qzzb_bound,guard_ratio,phase_wrapping_probability,Geff_analytic_envelope,classification
1.5,8,0.016796159999999994,0.9000000000000001,0.9,2.625,0.10409679630685989,9.60644357442248,0.6940872975705982,0.07225226403438541,0.3107714821246199,0.13930722506586823,stop-extrapolation
1.5,8,0.016796159999999994,1.0,0.9,2.625,0.10822596892721384,9.239926515904319,0.6916643391946682,0.07485604328174406,0.3013642570137277,0.18109939258562863,stop-extrapolation
1.5,8,0.016796159999999994,0.2,0.9,3.0,0.032996236853470765,30.306486295415635,0.7482681533227281,0.024690033216945913,0.5682259984435729,0.03660813850578231,stop-extrapolation
1.5,8,0.016796159999999994,0.30000000000000004,0.9,3.0,0.042413507723909796,23.57739441192857,0.738928374633011,0.03134054432491332,0.5176341729333935,0.04015086158698705,stop-extrapolation
1.5,8,0.016796159999999994,0.4,0.9,3.0,0.049637213636219264,20.146175152553695,0.7324622397976209,0.036357384677298175,0.4839720662671383,0.04445273961416424,stop-extrapolation
1.5,8,0.016796159999999994,0.5,0.9,3.0,0.05541319186582093,18.04624433873848,0.7276293479731266,0.040320264666437046,0.45958454801922943,0.049787068367863944,stop-extrapolation
1.5,8,0.016796159999999994,0.6000000000000001,0.9,3.0,0.060174473646053404,16.61834228716325,0.7238347704224775,0.04355637631688449,0.4409156364009499,0.05657621405439085,stop-extrapolation
1.5,8,0.016796159999999994,0.7,0.9,3.0,0.06419392972868468,15.57779690737886,0.7207485837382855,0.046267683936544506,0.42604930819911857,0.0655093004840315,stop-extrapolation
1.5,8,0.016796159999999994,0.8,0.9,3.0,0.06765745564738875,14.780337073444104,0.7181671751963256,0.04858936380325586,0.41383634909114875,0.07779229432478743,stop-extrapolation
1.5,8,0.016796159999999994,0.9000000000000001,0.9,3.0,0.07070689083103918,14.142893121825917,0.7159492676613386,0.05062254670909271,0.4035073928774545,0.09574436224589222,stop-extrapolation
1.5,8,0.016796159999999994,1.0,0.9,3.0,0.0734774919946202,13.609609866286903,0.7139744186995768,0.05246104963436177,0.3944455220789048,0.12446767091965986,stop-extrapolation
