nret,dark_rate_hz,background_rate_hz,gate_time_s,visibility,samples,max_classical_fi,phase_at_max_fi_rad,crlb_phase_variance,noise_counts_per_gate,sbr
0.46415888336127775,1000.0,0.0,1e-06,0.5,1,0.12406240421400795,1.8409732950036188,8.060459623811559,0.001,464.15888336127773
0.46415888336127775,1000.0,10.0,1e-06,0.5,1,0.12405932747105507,1.8409732950036188,8.060659527864322,0.00101,459.56325085275023
0.46415888336127775,1000.0,100.0,1e-06,0.5,1,0.12403164365022654,1.8409732950036188,8.062458664339191,0.0010999999999999998,421.9626212375253
0.46415888336127775,1000.0,1000.0,1e-06,0.5,1,0.12375548346938771,1.8409732950036188,8.080450029087892,0.002,232.07944168063887
1.2915496650148828,1.0,0.0,1e-06,0.5,1,0.3460689718917348,1.8409732950036188,2.8895973959573666,1e-06,1291549.6650148828
1.2915496650148828,1.0,10.0,1e-06,0.5,1,0.34606587978728975,1.8409732950036188,2.889623214558605,1.1e-05,117413.60591044389
1.2915496650148828,1.0,100.0,1e-06,0.5,1,0.34603805333358295,1.8409732950036188,2.889855581969748,0.000101,12787.620445691908
1.2915496650148828,1.0,1000.0,1e-06,0.5,1,0.3457600347203134,1.8409732950036188,2.892179256081183,0.001001,1290.2594056092735
1.2915496650148828,10.0,0.0,1e-06,0.5,1,0.34606618899524777,1.8409732950036188,2.889620632698481,9.999999999999999e-06,129154.96650148829
1.2915496650148828,10.0,10.0,1e-06,0.5,1,0.3460630969405324,1.8409732950036188,2.889646451299719,1.9999999999999998e-05,64577.483250744146
1.2915496650148828,10.0,100.0,1e-06,0.5,1,0.34603527093433173,1.8409732950036188,2.889878818710863,0.00010999999999999999,11741.36059104439
1.2915496650148828,10.0,1000.0,1e-06,0.5,1,0.34575725679019464,1.8409732950036188,2.892202492822297,0.00101,1278.7620445691907
1.2915496650148828,25.0,0.0,1e-06,0.5,1,0.34606155093389485,1.8409732950036188,2.8896593606003385,2.4999999999999998e-05,51661.986600595315
1.2915496650148828,25.0,10.0,1e-06,0.5,1,0.3460584589620594,1.8409732950036188,2.8896851792015763,3.5e-05,36901.41900042522
1.2915496650148828,25.0,100.0,1e-06,0.5,1,0.3460306337016787,1.8409732950036188,2.8899175466127196,0.000125,10332.397320119062
1.2915496650148828,25.0,1000.0,1e-06,0.5,1,0.34575262700585596,1.8409732950036188,2.8922412207241543,0.0010249999999999999,1260.0484536730564
1.2915496650148828,100.0,0.0,1e-06,0.5,1,0.3460383624918173,1.8409732950036188,2.8898530001096248,9.999999999999999e-05,12915.496650148829
1.2915496650148828,100.0,10.0,1e-06,0.5,1,0.34603527093433173,1.8409732950036188,2.889878818710863,0.00010999999999999999,11741.36059104439
1.2915496650148828,100.0,100.0,1e-06,0.5,1,0.3460074494026006,1.8409732950036188,2.890111186122006,0.00019999999999999998,6457.748325074414
1.2915496650148828,100.0,1000.0,1e-06,0.5,1,0.3457294799438604,1.8409732950036188,2.8924348602334407,0.0010999999999999998,1174.136059104439
1.2915496650148828,1000.0,0.0,1e-06,0.5,1,0.345760343381971,1.8409732950036188,2.8921766742210586,0.001,1291.5496650148827
1.2915496650148828,1000.0,10.0,1e-06,0.5,1,0.34575725679019464,1.8409732950036188,2.892202492822297,0.00101,1278.7620445691907
1.2915496650148828,1000.0,100.0,1e-06,0.5,1,0.3457294799438604,1.8409732950036188,2.8924348602334407,0.0010999999999999998,1174.136059104439
1.2915496650148828,1000.0,1000.0,1e-06,0.5,1,0.3454519567471676,1.8409732950036188,2.894758534344875,0.002,645.7748325074414
3.593813663804626,1.0,0.0,1e-06,0.5,1,0.9629580227407257,1.8409732950036188,1.0384668660362235,1e-06,3593813.663804626
3.593813663804626,1.0,10.0,1e-06,0.5,1,0.9629549306150419,1.8409732950036188,1.0384702006368016,1.1e-05,326710.3330731478
3.593813663804626,1.0,100.0,1e-06,0.5,1,0.9629271023774748,1.8409732950036188,1.038500212042004,0.000101,35582.3135030161
3.593813663804626,1.0,1000.0,1e-06,0.5,1,0.9626489084385265,1.8409732950036188,1.0388003260940266,0.001001,3590.223440364262
3.593813663804626,10.0,0.0,1e-06,0.5,1,0.9629552398267167,1.8409732950036188,1.0384698671767438,9.999999999999999e-06,359381.3663804626
3.593813663804626,10.0,10.0,1e-06,0.5,1,0.962952147718905,1.8409732950036188,1.038473201777322,1.9999999999999998e-05,179690.6831902313
3.593813663804626,10.0,100.0,1e-06,0.5,1,0.9629243196421802,1.8409732950036188,1.038503213182524,0.00010999999999999999,32671.033307314785
3.593813663804626,10.0,1000.0,1e-06,0.5,1,0.9626461273108865,1.8409732950036188,1.0388033272345467,0.00101,3558.2313503016094
3.593813663804626,25.0,0.0,1e-06,0.5,1,0.9629506016724461,1.8409732950036188,1.0384748690776109,2.4999999999999998e-05,143752.54655218506
3.593813663804626,25.0,10.0,1e-06,0.5,1,0.9629475095944211,1.8409732950036188,1.038478203678189,3.5e-05,102680.39039441789
3.593813663804626,25.0,100.0,1e-06,0.5,1,0.9629196817857631,1.8409732950036188,1.0385082150833913,0.000125,28750.509310437006
3.593813663804626,25.0,1000.0,1e-06,0.5,1,0.9626414921338632,1.8409732950036188,1.0388083291354138,0.0010249999999999999,3506.1596720045136
3.593813663804626,100.0,0.0,1e-06,0.5,1,0.962927411571278,1.8409732950036188,1.0384998785819461,9.999999999999999e-05,35938.136638046264
